latitude,longitude,bearing
51.46767127115571,-0.21464345979870297,-54.100928390761894
51.46767127115571,-0.21464345979870297,-54.100928390761894
51.46769245436809,-0.21469043659877862,-54.832289305667665
51.46771767749841,-0.21474790282442263,-54.43997611528885
51.46774648385381,-0.21481258756008537,-55.25104919216209
51.46777680077964,-0.21488274259464005,-55.91392204835428
51.4678067312855,-0.21495374355363867,-55.414895187271924
51.46783926139378,-0.21502948166931138,-54.75973986247711
51.46787435596803,-0.21510922379944036,-53.36275756397602
51.46790860742045,-0.21518315728399914,-53.11777947243648
51.467944404588735,-0.2152597413241158,-52.62253877329648
51.467982836486904,-0.2153404985664649,-52.7483055960609
51.46802165480504,-0.21542244009437328,-52.34350854272299
51.46805787352975,-0.21549778344338055,-52.48613579454801
51.46809549743354,-0.21557645408461343,-52.629015488426326
51.46813491296335,-0.21565929792807878,-52.489732480675514
51.46817274764984,-0.21573841972709015,-53.84282282552053
51.468207455795124,-0.21581466539165442,-53.13109209211709
51.468244763542835,-0.21589452031844655,-52.80116000709116
51.46828460062008,-0.21597877402636043,-52.162131659229885
51.468320538307175,-0.21605304587203453,-52.15223129336685
51.46835763527218,-0.2161296863032642,-51.89571838436183
51.46839785877838,-0.21621202259783803,-51.5160597489706
51.46843586912013,-0.21628877581129383,-50.91357453374348
51.46847342276901,-0.21636299126585487,-50.426330347730094
51.46851392731283,-0.21644166190708775,-49.466562613421466
51.46855415081904,-0.21651717444387122,-49.30846067892404
51.46859166934046,-0.21658721668176276,-48.83623592745825
51.46863249005834,-0.21666216527854165,-47.82371329379931
51.46867482134665,-0.21673717025199654,-48.25071926997494
51.468713042462106,-0.2168059154221027,-48.14311543898512
51.46875386317999,-0.2168790593733306,-46.72689568667812
51.46879738887366,-0.21695327482789167,-47.591912663766216
51.46883592616318,-0.21702100488577772,-47.015955255653466
51.46887734407475,-0.21709234422032872,-46.72681238210391
51.46892086977741,-0.21716655967488976,-46.702930511979574
51.468959863750804,-0.2172329926505534,-46.33934162710976
51.469001703218794,-0.21730337326399735,-46.52482132711495
51.469046036906846,-0.21737843464300233,-46.63709299923035
51.46908545242767,-0.21744543157310758,-46.4495490362937
51.469128767356615,-0.21751857552433548,-45.6584783163664
51.46917260922435,-0.21759059158111715,-45.3504141209879
51.46921262194785,-0.21765561470676933,-44.77084831803824
51.469256639470835,-0.21772571333577392,-43.72735333172814
51.46930107854125,-0.21779395095698856,-44.22580112238925
51.46934189925013,-0.21785773339153136,-44.104791262592606
51.46938640858445,-0.21792698611052908,-43.5002542494888
51.469430461234886,-0.21799409582286045,-43.49679174611973
51.46947166837274,-0.21805686314518316,-43.64425236196103
51.469518004451544,-0.2181278077130687,-43.030251856386215
51.4695613193715,-0.21819271804205775,-42.75878795225844
51.469603756051164,-0.21825571094326968,-42.757930862696895
51.469650373167575,-0.21832490727115433,-42.57991848236139
51.469692388290824,-0.21838688506014617,-42.29466119242988
51.46973559781942,-0.21844999075802124,-41.381447710512376
51.469782847265975,-0.21851681850035032,-41.29874529856682
51.46982447596924,-0.2185755254171037,-41.21461140941665
51.46986919607727,-0.21863840552165248,-42.588965310492966
51.469914408005614,-0.21870512048175547,-42.330347653408715
51.46995501794079,-0.21876450412073953,-42.8018921069421
51.46999921110104,-0.21883020398305944,-42.05165924870488
51.47004224499238,-0.21889252014760363,-41.36170261007117
51.47008426011562,-0.2189519037865877,-41.122109628270834
51.470131298779464,-0.2190178292133598,-41.33305917904637
51.470171838459734,-0.21907506986011455,-41.21533086513426
51.47021515337969,-0.21913597616021027,-41.30315738464806
51.47026117329342,-0.2192008864891993,-42.74682421105653
51.47030108063456,-0.21926010094040715,-41.62769469581272
51.47034590613394,-0.21932405256272616,-41.59237181356793
51.470388729233576,-0.21938507164504795,-41.92721224690089
51.470429760725175,-0.2194442297195798,-41.240416889908474
51.47047648323294,-0.21950998595857574,-40.64969416502642
51.47051723368693,-0.2195661551019973,-40.007735967477394
51.47056205918631,-0.21962655385320148,-39.7618928975155
51.47060786831733,-0.21968774212329947,-38.50020822785816
51.47064960240296,-0.219741035146711,-38.91289502052267
51.470695903345316,-0.21980103913124974,-38.729276985234
51.470737953605,-0.21985517806466814,-39.110859361809304
51.47078116313361,-0.21991157278697898,-40.090803807320796
51.470826691227025,-0.21997309941819232,-40.03675003172557
51.470866703959516,-0.22002706917827156,-38.79214316026187
51.47091093225622,-0.22008414063725013,-38.189541646023194
51.47095407152991,-0.22013861793178388,-37.46456128621574
51.47099647307313,-0.22019078304631215,-37.933362575653504
51.47104361713732,-0.2202497719330678,-37.34618557872861
51.47108454323756,-0.22029990683759287,-37.121411670680246
51.47113035236858,-0.22035556843212292,-37.485972093480086
51.471174369882576,-0.2204097637566544,-37.30890040789955
51.471216595788526,-0.2204614213222911,-37.520674705716964
51.471264126272686,-0.2205200154423813,-38.12587476433004
51.47130494699057,-0.2205714474291288,-38.50599663912355
51.471349983263664,-0.22062897004588586,-37.78259959730978
51.471394211560366,-0.22068401129486123,-37.42031157346062
51.47143654284867,-0.2207360072216133,-37.6702754315811
51.47148386255912,-0.22079465773281656,-38.04472765192948
51.471524577885646,-0.22084580774956175,-38.45108895496269
51.47156961415874,-0.2209032175840927,-38.34367653879832
51.47161264804109,-0.22095786406640266,-38.658737817095584
51.47165445239062,-0.22101155184204258,-39.27867416505043
51.471699980484026,-0.22107133024769204,-39.34694562276908
51.47173918523114,-0.22112293142221573,-39.23120797572327
51.47178341352783,-0.22118090519675127,-39.202251482401
51.471825534033435,-0.22123605922795275,-39.1257121167264
