location	latitude	longitude	bearing
HRR_finish	51.540234589128524	-0.8998273183498504	23.314444999741454
phyllis_court	51.5412454595054	-0.8989960371844	23.314444999741454
henley_500m	51.545383123356665	-0.8961653889172977	23.314444999741454
henley_1km	51.54952071908977	-0.8933342257946173	23.314444999741454
fawley	51.54899752730133	-0.8937579377145182	23.314444999741454
barrier	51.55238591747867	-0.8914099674728103	23.314444999741454
henley_1.5km	51.55365824668225	-0.8905025476548233	23.314444999741454
HRR_start	51.55764462636103	-0.8877652109177031	23.314444999741454
bottom_island	51.55779570611161	-0.8876703543363182	23.314444999741454
flagpole_3km	51.56221127491909	-0.8764898420948454	104.19906439692255
