location	latitude	longitude	bearing
Cerla_Finish	42.3108	-8.0741	196
Cerla_1750	42.313	-8.0733	196
Cerla_1500	42.3151	-8.0724	196
Cerla_1250	42.3173	-8.0716	196
Cerla_1000	42.3194	-8.0708	196
Cerla_750	42.3216	-8.0699	196
Cerla_500	42.3238	-8.0691	196
Cerla_250	42.326	-8.0683	196
Cerla_Start	42.3282	-8.0674	196
